Rater;107M;108M;109M;110M;111M;112M;119M;120M;121M;122M;123M;124M;137M;138M;139M;140M;141M;142M;149M;150M;151M;152M;153M;154M;155M;156M;157M;159M;160M;161M;162M;163M;164M;165M;166M;179M;180M;181M;182M;183M;184M;186M;187M;188M;189M;190M;191M;192M;193M
CMR16M_masc30;3;5;4;5;5;7;5;5;7;4;6;4;6;2;6;3;5;3;3;4;6;5;6;6;3;5;6;3;6;7;5;6;4;6;5;5;5;5;5;5;2;3;6;6;5;6;4;7;6
CMR16M_masc31;5;7;5;5;3;3;4;4;4;5;5;3;5;3;7;5;5;3;4;4;4;6;2;6;5;5;7;2;6;3;5;3;5;6;4;4;4;5;2;4;4;3;4;4;4;4;6;5;5
CMR16M_masc32;7;7;7;2;6;7;7;7;7;6;7;5;7;7;7;7;7;3;6;7;4;4;6;4;7;7;7;3;7;6;7;6;7;7;7;7;7;6;6;7;7;6;7;7;6;5;6;7;6
CMR16M_masc33;7;7;6;5;7;7;6;6;6;6;7;5;7;7;6;7;7;5;2;7;4;6;6;4;7;6;7;4;7;7;6;4;7;7;7;6;7;7;4;7;6;4;7;6;6;4;4;7;6
CMR16M_masc34;6;7;7;7;7;7;6;6;7;5;6;6;7;6;6;6;7;7;6;6;7;7;6;7;6;7;7;6;6;7;7;6;6;7;6;6;7;7;7;7;7;5;6;7;7;6;5;7;7
CMR16M_masc35;7;6;6;1;7;6;6;3;6;7;7;7;6;2;6;7;6;7;7;6;7;7;6;7;7;6;6;3;6;7;7;6;7;7;6;2;7;6;5;6;7;7;6;6;2;7;5;7;6
CMR16M_masc36;7;2;7;6;3;7;7;5;6;7;3;5;6;3;6;5;6;6;4;5;6;7;5;5;6;2;6;6;3;6;5;5;7;5;5;5;2;5;3;5;5;3;7;6;2;2;6;5;4
CMR16M_masc37;7;7;7;5;6;7;7;6;5;6;7;5;7;7;7;5;7;5;4;7;7;5;7;7;7;7;7;4;6;7;7;7;7;7;5;5;6;7;5;7;7;5;7;6;4;6;6;7;6
CMR16M_masc38;5;7;5;6;2;6;6;4;7;3;5;3;6;5;5;6;5;2;2;5;2;5;5;4;7;7;6;1;6;6;3;4;7;7;3;4;5;6;4;7;2;5;5;5;3;4;3;4;2
CMR16M_masc39;7;7;7;4;4;2;7;7;4;5;4;7;4;7;6;4;4;4;7;4;4;7;4;4;7;7;4;4;4;4;1;2;7;3;5;3;3;3;4;7;4;7;7;2;2;4;6;2;4
CMR16M_masc40;7;7;7;4;1;1;5;6;2;6;7;6;7;6;7;3;3;7;7;7;7;7;7;7;6;7;7;1;6;2;1;7;7;6;2;1;7;5;6;3;7;1;5;7;2;7;1;2;6
CMR16M_masc41;6;6;6;5;5;6;6;6;5;5;6;6;6;5;6;6;6;5;5;6;6;6;6;5;6;6;6;5;6;6;5;5;6;6;5;5;6;6;6;5;6;5;6;6;5;6;5;6;6
CMR16M_masc42;7;6;7;6;6;7;6;6;7;5;7;5;7;7;7;6;7;6;4;6;6;2;5;6;7;7;7;5;7;7;7;6;7;7;7;6;7;7;5;7;6;6;6;6;4;6;7;7;6
CMR16M_masc43;6;7;5;3;7;6;7;6;6;4;5;5;7;4;5;5;5;3;3;5;7;4;6;5;6;7;7;3;4;4;4;6;6;7;6;4;7;6;7;7;4;4;5;6;5;5;3;5;5
CMR16M_masc44;5;5;4;3;3;5;3;5;4;3;3;4;5;5;6;2;4;2;1;4;4;4;5;3;4;7;5;4;6;3;4;4;6;5;5;3;5;5;4;4;5;4;4;5;4;3;7;5;2
CMR16M_masc45;6;7;3;4;3;7;5;6;6;2;6;2;7;4;6;5;6;5;1;6;3;4;6;2;6;5;6;3;7;4;5;2;7;7;5;4;7;5;6;6;5;4;5;2;2;3;4;7;5
CMR16M_masc46;7;4;3;6;3;7;6;4;6;3;4;1;7;6;6;3;3;3;1;4;2;1;6;6;5;4;6;2;4;3;6;2;7;5;1;1;5;5;6;7;2;2;2;6;4;7;4;7;5
CMR16M_masc47;7;7;2;2;4;5;7;2;3;4;6;7;7;6;5;3;5;4;4;4;4;6;4;3;5;7;6;1;6;4;2;6;7;5;7;3;7;7;2;4;6;2;6;4;7;5;4;3;6
CMR16M_masc48;7;6;5;6;6;7;6;6;6;7;7;5;7;6;7;6;7;6;2;6;5;6;6;6;6;7;7;4;7;6;7;5;6;7;7;6;6;7;7;7;6;5;7;6;5;5;7;7;7
CMR16M_masc49;3;7;5;4;3;4;4;4;3;6;7;4;6;7;7;5;7;2;1;7;4;6;2;6;3;7;4;2;5;3;2;4;6;5;3;2;6;5;5;7;3;6;6;3;3;7;3;4;3
CMR16M_masc50;5;7;5;6;5;7;6;5;5;5;5;5;7;7;7;5;5;5;4;7;5;5;7;5;6;7;7;4;7;7;4;5;7;7;7;6;6;6;7;7;6;6;6;6;4;5;5;6;6
CMR16M_masc51;6;4;4;5;3;5;5;4;5;4;6;4;4;6;6;5;4;4;3;5;5;5;4;4;5;5;5;5;5;6;5;4;4;5;5;4;5;5;4;5;4;4;5;5;5;5;3;4;5
CMR16M_masc52;7;7;6;7;4;6;7;6;7;6;6;6;7;6;6;5;6;5;2;6;4;6;5;4;7;7;7;3;7;6;6;4;7;7;6;3;7;7;5;7;7;5;6;6;6;6;7;6;6
CMR16M_masc53;7;7;7;6;3;7;7;7;6;4;7;5;7;6;7;6;7;4;2;7;3;5;7;6;7;7;7;3;7;7;7;7;7;7;7;5;7;6;7;7;7;4;7;4;6;6;4;7;7
CMR16M_masc54;6;7;5;6;4;7;7;4;5;6;7;5;7;5;6;7;6;5;5;7;5;4;6;5;7;4;5;4;6;7;6;5;7;7;6;5;7;6;7;7;7;5;6;5;4;4;4;7;5
CMR16M_masc55;5;5;5;7;4;6;6;3;5;5;5;7;6;6;7;5;5;5;1;5;5;5;3;5;5;7;5;4;5;4;5;4;5;6;6;3;5;6;6;7;4;5;7;6;3;4;5;5;5
CMR16M_masc56;7;6;7;6;6;7;6;7;6;6;6;7;7;7;7;7;7;5;6;7;7;6;7;7;6;7;7;6;7;6;6;6;5;7;7;6;7;7;7;7;7;5;6;6;6;4;7;7;7
CMR16M_masc57;7;7;6;4;5;5;4;5;6;3;5;4;5;5;7;6;5;2;2;6;3;6;5;4;6;5;7;4;5;5;5;3;7;7;6;5;6;5;5;6;4;5;4;4;4;6;4;5;4
CMR16M_masc58;7;7;7;6;6;7;7;6;6;5;6;5;7;7;7;7;5;5;2;7;5;3;7;4;7;7;7;4;7;6;6;6;7;7;7;5;7;7;6;7;7;5;6;5;5;6;4;5;7
CMR16M_masc59;7;7;7;7;3;7;5;5;6;6;7;7;7;4;7;7;5;6;4;5;7;2;5;7;7;6;6;3;6;6;6;7;7;7;7;6;7;4;6;7;7;5;7;5;7;5;7;4;7
CMR16M_masc60;6;7;5;7;5;7;7;3;7;3;6;6;4;7;7;6;6;5;3;7;6;5;5;7;7;7;4;6;7;7;3;6;7;7;7;2;6;7;4;7;5;4;5;5;5;4;7;3;7
CMR16M_masc61;4;6;4;6;5;5;4;4;4;5;5;3;3;4;4;7;3;4;6;6;3;5;3;4;7;5;5;7;7;4;4;6;2;4;4;6;7;6;4;3;6;6;6;6;6;6;2;5;4
CMR16M_masc62;7;7;7;7;6;7;6;5;6;6;7;7;7;7;7;6;7;6;6;7;6;6;6;6;7;7;7;5;6;6;5;7;6;7;7;7;7;7;7;7;7;6;6;7;7;6;7;5;6
CMR16M_masc63;5;7;6;5;6;7;5;6;5;5;6;6;6;6;6;4;7;5;4;5;6;6;6;6;7;6;5;4;5;4;4;6;6;7;5;5;7;6;6;7;6;6;5;6;5;6;7;6;5
