Rater;2040_M;4042_M;4090_M;4120_M;4130_M;4170_M;4200_M;6060_M;6080_M;7040_M;7060_M;7070_M;7090_M;7100_M;8010_M;8020_M;8030_M;8040_M;8050_M;8060_M;8070_M;8080_M;8090_M;8100_M;8110_M;9010_M;9012_M;9013_M;9020_M;9022_M;9023_M;9030_M;9032_M;9033_M;9040_M;9042_M;9043_M;9050_M;9052_M;9053_M;9060_M;9062_M;9063_M;9070_M;9072_M;9073_M;9082_M;9083_M;9102_M;9112_M
CZ16_M_masc108;4;4;3;1;3;3;6;5;3;4;4;3;3;3;4;4;3;4;3;4;2;1;2;1;4;1;2;5;3;2;3;5;3;4;4;3;5;1;5;1;4;4;3;3;7;4;2;2;3;3
CZ16_M_masc109;4;5;7;5;5;4;4;6;4;7;3;3;3;6;5;5;5;4;5;6;6;4;3;4;5;2;4;5;6;3;6;5;5;5;7;5;5;4;6;2;5;7;3;6;7;4;3;5;4;6
CZ16_M_masc110;2;4;5;3;3;4;5;4;4;5;3;5;3;4;4;4;2;4;5;6;6;2;4;3;2;1;3;6;3;3;4;2;4;6;4;3;5;3;5;2;5;5;5;2;6;4;3;3;5;3
CZ16_M_masc111;3;5;5;5;3;5;5;5;3;5;5;5;4;4;6;3;5;5;4;6;4;4;5;4;3;4;4;6;5;2;5;3;5;5;5;3;4;4;4;3;4;5;2;5;7;5;3;3;4;5
CZ16_M_masc112;3;5;3;4;2;6;6;7;3;5;4;4;4;6;6;4;3;6;3;7;5;3;5;3;4;2;2;6;5;3;5;5;3;6;5;2;4;3;6;4;5;3;5;4;7;3;2;5;5;5
CZ16_M_masc113;5;6;4;3;5;5;6;6;4;4;5;5;6;5;5;4;4;6;5;5;3;3;4;2;5;3;3;5;3;2;3;5;5;5;5;3;6;3;5;3;5;6;4;3;6;4;3;4;5;4
CZ16_M_masc114;3;4;3;2;2;2;2;4;2;4;3;2;2;3;4;3;2;2;2;4;2;1;2;2;3;1;1;4;1;2;3;2;3;5;4;2;2;3;3;2;2;3;2;2;5;3;1;2;2;3
CZ16_M_masc115;4;5;4;4;4;3;6;5;4;5;4;5;4;5;6;3;4;5;4;6;3;2;5;4;3;3;2;6;3;2;5;5;5;4;5;2;4;5;5;4;5;6;4;4;6;6;4;4;3;5
CZ16_M_masc116;3;5;5;3;4;5;4;6;4;4;4;3;5;4;5;4;1;3;3;6;3;1;5;1;6;2;1;5;5;4;4;4;5;5;5;3;5;3;5;4;5;4;2;4;6;3;3;3;5;6
CZ16_M_masc117;3;5;3;3;3;3;5;6;3;2;4;4;4;6;5;4;1;5;3;5;3;1;4;2;3;4;3;5;2;4;4;3;4;5;5;3;5;4;4;3;5;4;4;5;7;3;2;4;4;3
CZ16_M_masc118;3;4;4;3;4;4;5;4;3;5;4;3;4;6;5;1;4;5;3;6;4;3;4;1;4;4;4;5;3;3;3;3;4;3;6;2;5;4;6;2;5;5;3;5;7;5;2;4;2;5
CZ16_M_masc119;5;5;5;3;5;5;5;5;5;5;4;4;2;5;5;4;3;5;5;6;4;4;4;4;5;3;4;5;4;4;5;2;5;5;3;4;5;5;4;4;6;5;5;4;6;3;3;3;5;4
CZ16_M_masc120;5;5;4;4;4;4;5;5;5;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;5;5;4;5;4;5;4;4;4;4;4;5;4;4;4;5;4
CZ16_M_masc121;5;2;4;2;4;6;6;6;3;5;4;5;3;5;6;4;2;5;2;6;4;1;4;2;4;2;4;5;4;4;2;4;3;5;3;1;5;3;6;2;6;6;4;5;7;2;2;3;5;5
CZ16_M_masc122;3;4;3;3;4;3;4;5;3;4;3;3;3;5;6;3;3;4;3;5;3;3;3;2;4;1;2;3;4;3;2;3;4;4;4;3;4;2;4;3;5;4;4;4;7;3;4;2;3;5
CZ16_M_masc123;5;4;4;5;4;4;6;6;5;5;5;5;6;6;7;5;5;6;4;6;4;2;5;4;4;1;4;5;6;5;1;6;4;4;5;2;6;3;6;2;6;6;4;5;6;4;6;4;6;6
CZ16_M_masc124;3;4;5;4;4;5;5;6;4;5;4;4;5;5;4;3;4;5;5;5;6;2;5;4;4;5;4;5;5;3;4;4;6;4;3;4;5;4;5;5;4;3;4;5;7;5;5;6;6;6
CZ16_M_masc125;3;4;5;3;4;4;5;5;3;5;3;4;5;4;4;3;4;5;4;5;4;3;4;3;4;3;4;4;3;3;3;4;3;4;3;3;5;3;4;3;5;5;3;4;6;3;3;3;4;4
CZ16_M_masc126;2;3;6;4;4;4;5;7;5;6;6;3;3;4;7;4;4;7;5;6;4;2;5;1;5;1;1;5;5;4;5;2;4;3;3;2;4;4;4;4;3;3;6;5;7;5;5;5;6;7
CZ16_M_masc127;4;4;5;2;5;5;5;6;3;4;5;3;4;6;6;4;2;6;2;5;4;3;4;5;2;5;4;5;5;4;3;4;6;3;2;4;5;2;6;3;6;5;3;5;7;2;3;4;3;6
CZ16_M_masc128;3;5;4;5;4;6;5;6;4;5;4;5;5;4;6;4;5;5;4;4;3;2;2;3;6;2;3;6;4;2;3;4;5;5;5;3;5;4;4;3;5;6;3;4;7;4;2;4;4;6
CZ16_M_masc129;2;3;3;2;3;2;4;4;1;4;2;2;2;3;3;1;3;3;2;4;1;1;4;1;2;1;2;2;2;1;3;2;3;4;4;2;2;2;3;3;3;4;2;4;4;3;2;2;2;2
CZ16_M_masc130;2;4;6;3;2;5;5;6;3;5;6;5;6;7;6;3;3;5;3;6;5;1;4;1;3;4;3;5;4;3;2;3;5;3;1;1;4;3;6;5;6;4;5;3;7;4;3;3;4;3
CZ16_M_masc131;5;6;4;5;5;5;5;7;5;4;4;6;6;4;6;5;2;5;5;6;5;3;4;1;4;3;2;6;3;3;4;4;4;6;5;3;6;5;5;3;4;6;2;6;6;4;2;5;6;6
CZ16_M_masc132;4;4;5;4;4;4;5;5;3;3;4;3;5;4;3;4;4;5;4;5;2;3;4;2;4;3;3;5;3;4;4;5;3;4;5;4;4;3;5;2;4;4;4;4;6;3;4;3;5;4
CZ16_M_masc133;6;6;5;4;5;6;7;7;6;5;5;5;6;5;7;5;5;6;5;7;5;3;5;3;6;5;5;6;5;5;4;6;6;6;7;4;6;5;6;4;5;7;5;4;7;5;4;5;6;4
CZ16_M_masc134;3;4;5;2;5;4;5;5;3;5;5;5;4;3;4;4;4;4;4;5;3;2;3;2;5;3;3;6;3;3;3;6;6;4;4;5;4;4;3;2;4;4;4;3;6;4;3;5;5;6
CZ16_M_masc135;4;3;3;2;2;4;3;5;2;1;3;2;3;4;4;3;1;4;2;4;3;1;1;1;2;2;1;5;1;1;3;2;2;4;6;3;5;1;1;3;5;4;3;4;6;3;1;2;5;1
CZ16_M_masc136;3;5;5;3;3;3;5;6;3;4;4;3;4;5;7;4;5;4;5;5;4;1;4;2;4;4;3;4;3;2;3;5;5;4;3;2;6;4;2;3;5;5;1;5;5;2;4;7;5;6
CZ16_M_masc137;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1
CZ16_M_masc138;4;3;5;5;5;3;5;6;5;5;4;5;3;4;5;4;4;5;4;5;4;3;5;3;2;2;3;5;3;5;4;5;5;3;4;3;5;3;5;5;4;4;3;5;6;5;4;4;4;6
CZ16_M_masc139;4;3;5;5;5;4;3;4;5;6;5;5;3;6;6;4;4;5;5;6;6;2;5;1;2;5;2;6;3;3;5;3;5;5;4;3;6;4;3;3;5;5;6;6;6;5;3;3;6;7
CZ16_M_masc140;7;7;3;5;7;7;7;7;3;4;5;3;6;3;4;7;7;5;5;3;2;3;4;1;7;5;6;2;3;2;7;7;4;7;2;4;7;3;4;1;3;7;2;7;7;7;2;7;6;7
CZ16_M_masc141;6;6;5;3;5;6;6;6;3;5;5;3;5;4;6;5;3;6;4;5;5;3;3;2;5;1;2;6;2;4;4;6;4;6;7;3;6;6;5;3;6;6;2;6;7;4;4;4;5;2
CZ16_M_masc142;6;5;7;4;6;7;7;7;5;5;5;6;7;7;7;6;5;7;4;7;4;3;6;4;5;1;5;7;5;2;4;6;5;6;6;6;7;5;7;5;7;7;6;5;7;5;4;5;6;5
CZ16_M_masc143;5;7;4;4;4;6;6;7;4;5;5;3;6;4;5;5;3;7;4;5;4;4;4;2;6;3;4;6;4;3;3;6;3;6;5;3;7;5;3;4;7;7;3;4;5;4;3;4;5;5
CZ16_M_masc144;4;4;4;3;3;4;7;5;6;4;4;5;6;3;6;5;3;3;3;6;3;1;3;2;4;3;4;6;4;3;4;5;5;5;3;3;6;4;4;4;5;6;5;3;6;3;5;3;4;3
CZ16_M_masc145;4;5;5;5;6;4;6;6;5;6;6;5;4;4;6;5;3;6;4;5;5;1;2;1;3;3;2;5;3;2;5;5;6;5;5;1;6;4;5;2;6;6;4;6;6;4;2;4;4;5
CZ16_M_masc146;3;5;5;3;3;5;7;6;4;4;3;4;4;5;5;5;2;5;4;4;4;1;5;2;4;2;3;5;4;4;2;5;5;6;6;3;5;2;5;1;7;4;3;4;7;4;5;4;4;5
CZ16_M_masc147;5;5;5;3;6;5;5;6;4;4;5;5;3;6;6;4;4;6;4;5;5;2;4;3;6;3;5;6;5;4;4;4;5;5;4;4;6;5;5;4;6;6;6;6;5;5;5;4;5;5
CZ16_M_masc148;3;4;6;3;3;4;4;4;4;5;4;4;4;4;6;4;3;4;3;6;4;2;4;3;4;4;3;5;5;4;3;4;6;5;4;2;4;4;5;3;5;5;4;4;6;3;2;3;3;5
CZ16_M_masc149;5;5;4;2;5;5;6;5;4;7;6;6;5;6;7;2;4;7;4;4;4;5;3;3;2;3;4;6;6;4;2;5;5;4;3;1;7;5;6;3;5;4;2;4;7;6;5;4;4;2
CZ16_M_masc150;4;3;6;3;4;4;5;6;3;4;4;4;4;5;4;3;3;5;4;5;4;2;3;2;4;2;4;6;5;3;4;4;4;5;3;3;4;4;5;4;6;4;3;4;6;4;6;3;4;3
CZ16_M_masc151;4;3;5;3;4;4;3;3;5;4;3;3;4;4;4;4;3;4;3;4;4;3;4;3;3;3;3;5;5;3;4;3;4;3;3;4;4;5;3;3;5;5;4;4;6;4;3;5;5;4
CZ16_M_masc152;5;4;4;3;5;4;5;5;3;5;3;5;3;5;5;3;3;5;4;4;4;2;4;3;4;5;3;5;5;4;4;5;5;4;3;3;5;3;5;4;4;3;5;4;6;4;4;5;5;4
CZ16_M_masc153;3;3;1;2;1;2;5;3;4;1;1;1;4;4;3;4;2;3;1;5;3;1;5;1;1;3;1;6;2;1;4;1;1;5;5;2;2;2;4;4;4;1;1;2;7;3;1;1;2;3
CZ16_M_masc154;4;6;5;4;5;5;4;7;4;5;5;4;4;5;5;4;4;6;4;6;5;4;4;2;5;3;4;4;4;3;3;5;5;4;5;5;6;4;4;5;6;6;3;6;6;4;3;5;4;5
CZ16_M_masc155;4;3;4;5;4;5;5;6;4;5;4;5;5;4;5;4;3;3;5;5;4;3;4;3;3;3;3;6;5;3;3;3;5;3;3;3;5;4;5;2;6;4;3;6;6;3;2;4;4;7
CZ16_M_masc156;7;5;7;5;7;6;7;7;6;6;5;4;7;7;7;6;4;6;5;7;5;5;3;2;5;4;3;7;4;5;6;6;5;6;7;4;7;4;6;2;5;6;4;6;7;5;3;5;5;5
CZ16_M_masc157;3;4;5;4;5;4;5;4;4;3;3;3;4;4;5;5;4;4;3;5;3;3;5;4;5;4;3;6;4;3;4;4;4;6;4;3;3;4;5;4;4;4;4;3;6;5;4;4;5;3
CZ16_M_masc158;5;5;6;2;4;5;6;6;4;5;6;2;5;4;6;3;4;4;5;4;2;3;3;1;4;2;1;6;2;4;5;3;2;5;6;2;5;2;5;5;6;6;2;3;7;2;6;5;5;7
CZ16_M_masc159;6;5;7;4;6;6;5;7;5;7;5;3;4;6;6;5;5;6;3;6;2;1;4;1;4;3;3;6;5;2;5;3;6;5;2;3;4;3;5;3;5;6;5;6;7;3;1;5;2;5
CZ16_M_masc160;4;3;6;4;3;5;5;6;3;4;3;4;6;3;6;4;5;5;4;7;4;1;4;2;6;1;2;7;4;2;2;4;5;6;5;3;6;5;5;3;6;7;4;6;7;3;3;2;6;5
CZ16_M_masc161;4;4;3;3;4;4;5;4;3;5;2;3;5;6;5;5;3;5;3;6;5;2;5;3;2;5;2;5;5;3;4;4;3;3;4;3;5;4;6;3;5;5;5;4;7;4;3;2;5;6
CZ16_M_masc162;6;6;6;5;6;5;7;7;4;6;6;6;5;6;7;6;5;6;4;6;6;2;6;3;5;4;4;6;5;2;6;6;6;5;4;4;7;3;5;4;6;6;6;6;7;5;5;4;5;5
CZ16_M_masc163;4;3;5;3;3;4;6;5;3;5;3;4;3;4;6;3;3;4;2;6;3;2;2;3;2;3;3;5;3;3;3;5;5;4;3;3;4;3;6;3;5;4;4;4;6;3;2;4;5;5
CZ16_M_masc164;6;7;5;7;6;6;7;7;2;6;6;6;7;3;4;4;6;7;4;5;4;5;3;2;6;2;5;7;5;3;5;6;4;6;7;5;7;5;6;3;4;7;4;7;7;5;3;4;5;3
CZ16_M_masc165;5;5;5;5;7;5;7;7;5;5;6;5;6;6;7;5;6;6;5;6;5;2;5;3;6;2;4;6;6;3;3;5;5;7;5;4;6;5;6;4;6;6;4;6;7;5;5;6;5;5
CZ16_M_masc166;4;4;4;2;5;5;4;4;3;3;4;3;1;6;6;3;3;5;5;7;4;1;4;2;2;2;4;7;6;4;3;2;4;6;3;2;4;5;6;3;6;6;3;4;6;4;6;5;4;4
CZ16_M_masc167;6;6;5;5;4;4;5;6;5;7;4;3;5;4;6;6;3;5;5;4;5;2;4;2;6;3;3;7;4;3;4;4;7;6;6;3;7;4;3;1;7;5;2;6;7;2;1;4;4;7
CZ16_M_masc168;5;6;5;4;6;5;6;6;4;6;5;5;6;6;4;5;5;5;4;5;3;3;4;3;4;4;4;5;4;5;3;6;4;6;6;5;6;4;5;4;6;5;5;5;4;5;5;5;5;2
CZ16_M_masc169;3;7;5;3;5;7;5;5;4;3;6;5;6;3;4;5;1;5;3;7;4;1;2;2;5;3;4;5;5;2;4;4;3;6;7;5;7;5;4;2;6;6;6;4;7;2;3;2;6;5
CZ16_M_masc170;4;5;2;2;3;4;4;6;3;5;4;4;3;3;4;3;2;4;4;4;2;2;4;1;4;3;3;4;4;3;2;4;3;5;5;3;4;2;4;2;3;2;2;4;5;3;2;3;4;5
CZ16_M_masc171;3;5;4;4;5;6;5;6;5;6;5;4;5;5;6;5;5;6;5;5;6;2;3;2;4;5;3;5;3;3;4;5;6;5;4;3;5;5;4;2;5;5;2;6;6;5;5;5;4;6
CZ16_M_masc172;2;5;4;3;4;4;5;6;5;4;4;3;6;4;5;4;3;5;2;4;3;2;4;2;3;1;3;6;3;3;3;3;3;6;3;2;4;3;4;3;3;4;3;4;6;4;2;4;5;2
CZ16_M_masc173;4;4;4;4;5;5;5;4;5;4;5;4;4;5;5;3;4;4;4;4;4;4;5;4;4;4;4;4;5;3;4;4;4;5;5;3;4;5;5;4;4;5;5;4;5;5;4;5;5;5
CZ16_M_masc174;2;4;3;5;5;5;5;4;5;5;2;4;4;6;5;4;2;5;4;6;3;3;3;2;2;2;4;6;4;4;4;4;5;5;5;3;5;3;5;2;5;4;4;5;6;4;3;3;2;4
CZ16_M_masc175;6;6;5;5;5;5;6;6;3;6;5;5;4;5;5;3;4;5;5;5;4;3;3;3;5;2;5;6;5;3;3;5;3;5;3;2;6;5;6;3;6;6;3;7;7;2;2;5;5;6
CZ16_M_masc176;2;4;6;4;3;5;5;7;2;4;1;2;4;5;2;3;3;5;3;6;4;1;5;1;2;1;3;6;4;4;2;1;3;4;3;3;4;4;2;5;4;6;2;3;7;2;3;4;4;2
CZ16_M_masc177;3;4;3;2;3;3;3;2;5;3;4;3;5;2;4;3;2;3;2;3;1;2;3;2;4;2;2;5;3;2;2;2;3;4;4;1;4;2;3;2;2;4;2;3;6;3;5;2;5;2
CZ16_M_masc178;5;6;5;4;4;6;6;6;5;6;6;5;6;6;6;5;5;6;4;6;5;4;5;4;5;5;5;6;5;4;5;5;5;6;6;5;6;5;5;3;6;5;4;5;7;5;4;4;5;5
CZ16_M_masc179;5;4;6;5;6;5;4;5;4;6;5;5;4;3;5;5;4;5;5;6;4;3;4;3;4;2;5;4;5;2;5;5;5;3;4;3;6;4;4;3;5;5;2;6;6;4;1;4;4;6
CZ16_M_masc180;5;5;5;4;5;7;7;7;4;6;5;4;6;6;7;5;5;5;6;6;4;3;5;3;5;4;5;6;4;4;4;6;5;5;6;3;6;5;6;4;6;6;5;7;7;4;3;4;6;5
CZ16_M_masc181;2;5;6;5;4;6;6;6;4;6;4;5;4;5;6;5;6;6;5;7;5;3;5;3;5;2;3;6;5;3;6;4;5;7;6;3;6;6;6;5;6;7;4;6;7;4;3;5;5;6
CZ16_M_masc182;6;4;6;2;4;5;6;5;3;6;4;4;6;5;6;3;6;7;4;7;3;1;5;1;2;2;1;7;4;3;3;4;5;6;5;3;5;5;5;4;5;7;3;3;7;4;1;4;4;4
CZ16_M_masc183;4;5;5;4;4;5;6;7;5;6;4;5;6;4;5;5;5;5;4;4;5;3;3;3;5;5;3;5;4;3;3;5;5;6;6;4;5;6;6;4;4;5;3;5;7;3;3;4;6;4
CZ16_M_masc184;3;6;5;6;7;5;6;7;5;6;6;3;5;7;7;5;3;7;7;7;3;2;6;3;6;1;7;7;6;4;5;6;6;6;7;1;6;5;6;5;7;7;4;7;7;6;6;6;4;4
CZ16_M_masc185;6;6;5;2;3;3;7;6;4;3;7;6;5;6;7;5;3;6;3;7;4;2;4;4;6;2;5;7;4;5;4;7;5;7;5;3;7;5;7;4;7;7;4;5;7;6;5;3;7;5
CZ16_M_masc186;5;6;7;5;6;5;6;7;3;6;6;6;6;6;5;5;3;6;6;6;6;6;5;5;5;3;6;5;5;5;5;4;6;5;6;4;6;6;7;3;6;5;4;7;7;5;4;4;3;6
CZ16_M_masc187;6;3;5;4;6;5;7;7;2;5;4;5;2;5;6;5;4;3;3;4;3;1;3;1;2;3;4;6;4;4;3;2;3;7;5;1;7;3;5;2;6;5;4;6;7;4;3;4;6;7
CZ16_M_masc188;2;4;4;3;4;3;3;5;2;2;3;3;2;3;4;3;3;3;3;5;4;2;3;3;4;2;3;3;5;1;3;3;4;3;2;2;4;3;4;2;4;2;3;4;4;3;3;2;2;2
CZ16_M_masc189;6;6;3;2;3;4;5;5;6;3;4;3;7;3;5;4;2;5;3;3;4;1;3;3;6;2;2;7;2;3;1;3;3;6;7;1;6;4;3;2;3;4;4;3;7;2;1;2;7;2
CZ16_M_masc190;3;4;2;2;2;5;6;4;4;3;2;2;4;2;3;3;3;4;2;6;2;1;1;1;3;1;2;5;2;2;1;6;3;4;6;2;5;2;3;1;2;6;1;2;7;3;2;2;4;3
CZ16_M_masc191;5;5;5;4;5;5;6;5;4;5;4;5;5;5;5;4;4;6;4;5;5;5;4;3;5;4;4;6;4;4;4;5;4;6;5;4;5;4;5;4;5;6;4;6;6;5;4;4;5;4
CZ16_M_masc192;3;4;4;3;6;3;5;5;5;3;4;4;5;5;6;5;4;5;3;5;4;3;5;4;5;3;3;5;3;4;3;5;3;4;4;3;6;4;5;3;5;5;3;5;6;3;3;4;5;5
CZ16_M_masc193;6;4;5;4;5;5;6;6;5;5;6;6;4;4;5;4;6;6;5;4;5;2;4;3;5;3;5;6;4;3;4;5;5;4;4;3;5;4;4;4;6;6;3;5;7;3;3;4;4;5
CZ16_M_masc194;6;6;7;6;3;3;7;7;4;6;6;6;4;5;5;5;5;6;5;5;4;5;4;4;6;2;5;4;6;4;4;5;6;6;5;3;3;5;7;4;7;6;2;5;6;6;5;4;3;5
CZ16_M_masc195;5;5;5;4;5;5;6;5;3;5;4;4;4;4;5;5;4;6;4;5;5;3;4;3;4;3;4;6;5;4;4;4;3;4;3;4;4;5;5;4;6;6;5;6;6;5;4;4;4;4
CZ16_M_masc196;4;5;4;4;4;5;5;5;3;3;4;5;3;5;5;4;2;6;3;5;3;2;3;2;4;3;3;6;4;2;3;3;4;4;4;3;4;4;5;3;5;4;4;4;7;4;3;3;5;3
CZ16_M_masc197;4;5;6;5;5;5;6;6;4;6;5;6;5;5;6;5;5;6;5;6;5;4;5;4;5;4;5;6;5;4;5;5;6;6;4;4;6;5;5;4;6;6;3;5;7;4;5;6;5;5
CZ16_M_masc198;4;4;6;3;6;3;6;5;3;4;6;5;3;5;5;5;4;5;6;6;5;2;3;3;4;2;5;6;6;3;2;5;6;5;5;3;6;3;5;3;6;6;3;6;7;3;1;3;3;6
CZ16_M_masc199;5;5;4;5;6;5;6;6;5;5;6;2;4;5;6;5;3;5;6;5;4;5;4;2;7;5;4;5;5;4;5;5;5;4;6;3;6;5;4;4;5;6;3;6;7;4;3;4;4;6
CZ16_M_masc200;3;4;3;3;5;4;4;4;3;3;4;3;4;4;4;4;3;4;4;4;5;4;3;3;3;3;4;4;3;3;3;4;4;5;4;3;4;4;4;3;5;3;3;5;6;3;3;4;4;4
CZ16_M_masc201;6;5;5;4;4;5;6;6;3;5;4;5;4;3;5;5;6;6;4;5;3;1;3;2;5;4;5;5;3;4;4;5;5;5;5;2;6;4;5;2;3;6;4;5;7;4;5;4;6;7
CZ16_M_masc202;6;5;5;4;5;5;5;5;6;5;5;6;5;5;6;6;4;5;4;5;4;3;4;3;6;3;4;6;4;3;4;4;6;4;6;3;6;4;5;4;5;6;5;5;7;5;4;5;5;3
CZ16_M_masc203;4;4;3;3;4;4;5;5;2;5;3;1;3;4;4;3;2;4;4;5;4;3;3;1;4;2;3;6;4;2;4;2;4;4;4;1;4;3;4;2;4;4;1;4;7;2;1;2;4;3
CZ16_M_masc204;5;5;5;4;4;5;5;6;3;5;5;4;4;5;3;4;3;5;4;5;4;4;3;3;6;3;4;5;5;4;5;3;3;5;4;3;6;3;4;3;6;5;2;5;7;4;2;4;3;5
CZ16_M_masc205;4;3;5;3;4;5;5;5;5;2;5;4;4;3;6;5;4;3;3;5;3;2;3;1;5;1;1;5;2;2;4;4;3;3;3;1;3;3;4;3;3;6;2;4;7;3;1;2;4;4
CZ16_M_masc206;4;6;4;4;5;4;5;6;3;3;4;3;5;5;6;5;3;5;4;6;3;1;4;1;5;1;2;6;3;2;2;4;4;5;4;2;6;3;5;2;5;5;2;4;6;2;1;3;3;2
CZ16_M_masc207;2;3;6;2;3;4;4;5;2;4;3;3;3;5;7;3;1;6;2;6;3;5;4;2;4;3;3;5;4;2;4;3;3;5;5;2;5;6;4;3;6;5;2;6;5;3;5;5;5;2
CZ16_M_masc208;3;6;5;2;4;4;4;3;1;4;2;2;2;3;5;3;4;4;4;6;5;1;2;1;2;2;3;5;5;2;3;6;4;4;4;1;2;2;4;2;5;5;3;5;6;2;1;2;4;6
CZ16_M_masc209;4;3;4;4;3;4;5;5;4;4;2;2;3;4;4;4;2;3;3;4;5;4;5;1;3;3;3;6;3;4;4;4;3;4;3;4;3;4;5;3;5;4;3;4;6;4;3;3;5;3
CZ16_M_masc210;5;5;3;2;4;4;4;6;4;3;3;4;5;4;4;4;3;4;4;4;3;2;3;2;5;1;3;5;2;3;3;5;4;4;6;2;5;3;3;3;4;4;3;5;6;3;3;4;5;4
CZ16_M_masc211;5;6;6;4;3;6;6;5;5;6;5;4;5;6;6;5;4;5;4;7;4;2;5;3;5;3;3;7;3;4;4;2;5;6;4;5;5;4;5;4;6;6;3;3;7;5;4;5;6;6
CZ16_M_masc212;1;5;5;3;4;4;4;5;3;6;4;4;3;7;6;4;2;5;5;7;4;1;1;3;5;1;2;7;6;3;1;4;4;5;2;1;5;4;6;4;7;6;4;5;7;3;5;5;3;3
CZ16_M_masc213;4;4;6;3;4;4;5;5;3;5;4;3;4;5;6;3;4;5;4;5;3;2;4;3;5;4;3;6;3;3;3;4;5;5;5;3;5;4;4;3;6;4;3;5;6;3;2;3;4;5
CZ16_M_masc214;2;2;3;3;3;3;4;3;2;2;3;2;4;3;4;3;4;4;2;2;4;3;2;3;3;3;2;2;4;2;3;3;3;5;2;3;3;3;4;3;4;4;2;3;2;2;3;3;3;2
CZ16_M_masc215;5;5;4;4;3;4;5;6;5;3;4;4;5;3;4;5;4;4;4;5;3;2;3;2;4;2;3;5;3;2;2;5;4;5;5;4;5;3;5;3;4;5;3;3;6;3;2;3;4;5
CZ16_M_masc216;5;6;6;6;5;5;7;7;6;6;5;5;5;6;6;5;6;6;6;7;6;2;4;3;6;4;2;7;5;3;5;6;6;5;7;3;6;6;6;5;6;6;6;5;7;5;4;5;6;6
CZ16_M_masc217;6;5;2;2;5;5;7;7;4;2;4;3;6;6;6;4;2;6;5;6;4;1;5;2;4;3;3;7;3;3;3;6;2;7;7;2;7;6;5;3;6;6;4;5;7;3;1;2;6;3
CZ16_M_masc218;2;4;4;3;4;4;5;5;2;5;5;2;5;5;3;3;2;3;5;5;3;1;5;3;3;4;4;5;3;3;5;4;3;6;5;3;3;3;2;5;3;5;3;6;6;4;3;2;4;3
CZ16_M_masc219;4;5;5;4;5;4;5;6;3;5;5;4;4;6;7;2;3;4;6;5;1;3;1;1;4;2;4;5;2;2;2;5;5;4;5;3;5;4;6;1;5;7;2;6;6;3;1;3;3;3
CZ16_M_masc220;5;6;5;4;6;6;7;7;4;5;5;5;5;5;6;4;5;5;6;6;5;3;5;5;6;4;5;5;5;4;3;5;5;6;5;3;6;5;5;5;6;5;4;6;7;4;4;4;5;5
CZ16_M_masc221;4;5;4;1;5;5;4;5;2;6;3;4;3;5;5;3;3;2;4;5;2;1;4;1;5;4;1;6;2;2;2;3;4;5;2;1;3;3;5;3;4;4;3;5;6;1;1;2;4;3
CZ16_M_masc222;6;7;2;3;5;6;6;7;5;3;3;3;5;3;5;6;5;3;2;4;3;2;1;2;5;1;3;6;3;2;4;6;2;6;7;5;6;4;4;1;4;4;3;6;7;4;2;4;6;6
CZ16_M_masc223;4;4;7;5;4;4;7;4;3;6;5;6;6;4;7;6;5;7;6;6;4;3;4;5;5;3;3;7;6;7;4;5;4;5;6;4;4;4;7;4;5;6;5;5;7;6;4;4;3;4
CZ16_M_masc224;5;6;4;4;5;4;6;6;4;5;4;4;3;4;5;5;4;5;4;5;4;4;3;3;4;4;2;6;4;3;5;6;4;6;6;4;6;4;5;2;4;6;3;5;6;4;3;4;4;5
CZ16_M_masc225;4;5;4;4;5;3;4;6;3;3;4;3;3;3;5;5;4;4;5;5;4;1;3;2;4;2;3;5;3;2;3;6;4;5;5;3;5;3;3;2;4;4;3;3;7;3;3;4;5;5
CZ16_M_masc226;4;5;4;4;4;6;5;5;3;4;4;3;4;4;6;3;4;5;5;7;4;3;4;3;3;3;4;6;3;3;4;4;5;6;4;3;5;5;6;4;6;5;5;3;7;4;3;4;4;3
CZ16_M_masc227;5;4;6;4;3;5;5;6;4;5;5;3;5;5;6;5;5;5;4;6;3;2;5;2;5;2;2;5;4;3;3;4;5;5;5;2;5;4;6;3;4;4;3;5;6;3;2;3;5;6
CZ16_M_masc228;5;4;4;4;3;5;5;5;4;4;4;3;5;4;5;4;4;4;5;5;4;3;3;3;3;3;3;6;3;3;4;4;4;5;5;4;5;4;5;4;5;4;4;4;6;5;3;3;4;4
CZ16_M_masc229;5;3;4;4;5;4;5;5;5;4;3;4;4;5;5;3;5;5;4;5;3;3;5;4;3;4;3;5;5;4;4;3;5;5;5;4;4;3;5;3;6;5;3;5;6;5;5;4;5;5
CZ16_M_masc230;4;4;5;3;4;5;6;3;3;4;5;4;5;5;5;3;4;5;5;6;4;5;2;1;6;3;2;6;5;4;3;5;5;6;6;3;6;2;1;4;4;4;3;6;6;4;3;4;4;5
