Rater;2;4;6;7;8;9;10;11;12;13;15;16;18;28;31;36;44;54;55;57;119;122;140;142;143;145;147;149;161;168;175;191;193;203;209;223;224;230;240;241;247;249;250;251;252;267;268;289;293;296;313;317;318;319;322;324;337;348;372;400;409;410;411;413;417;422;437;440;443;448;458;459;462;463;476;477;483;496;499;500;501;506;507;510;515;516;517;520;528;529;540
Tur_Masc1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;
Tur_Masc2;;;;;;;;;;;;;;6;;;7;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
Tur_Masc3;;5;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;6;;4;;;;;;
Tur_Masc4;;;4;;;;;3;;;;;;;;;;;;;;3;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;
Tur_Masc5;;;4;;5;;;;;;;;;;;;;;;;;;;;4;;;;;4;;;;5;;;;;;;;;;4;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;
Tur_Masc6;;;;;;;;;;;;;;3;;;;;;;;5;;;;;;;;;;5;;;;7;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;7;;;6;;;;;;;;;;6;;;;;;;;;;;;
Tur_Masc7;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;6;;;;;;2;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;5;
Tur_Masc8;;;;;;;4;;;;;;;;;;3;;3;;;3;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_Masc9;;;;;;;5;;;;;;4;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
Tur_Masc10;;;;6;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;7;;;7;;7;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_Masc11;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;3;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;3;6;;;;;
Tur_Masc12;;;;;;;;;;;;;3;;;5;;;;;3;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
Tur_Masc13;;;;;;6;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;3;;;;;;;;;;3;1;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_Masc14;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;4
Tur_Masc15;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;5;;6;;;;;;;;;;;;;;6;;;;;;;;;;;;;6;
