Rater;M023;M026;M044;M046;M051;M053;M058;M070;M071;M073;M075;M076;M077;M079;M082;M087;M088;M091;M092;M093;M095;M096;M097;M099;M100;M105;M106;M109;M112;M114;M115;M120;M121;M122;M125;M132;M133;M136;M139;M140;M141;M142;M143;M150;M154;M156;M157;M158;M163;M166;M168;M169;M171;M176;M177;M181;M182;M184;M186;M190;M192;M194;M195;M197;M199;M204
Col_F_attr16;2;NA;NA;NA;2;NA;3;2;NA;NA;NA;NA;NA;NA;3;NA;2;3;NA;NA;NA;NA;NA;2;NA;4;NA;NA;5;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;3;NA;3;2;NA;NA;NA;NA;NA
Col_F_attr17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr19;1;1;2;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr22;2;NA;4;NA;1;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;2;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;3;NA;NA;2;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA
Col_F_attr23;NA;4;7;NA;NA;NA;NA;NA;4;5;5;6;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;7;7;NA;5;4;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
