Rater;ID5_2_M_CMR13_DSC_0037;ID6_1_F_CMR13_DSC_0040;ID7_2_F_CMR13_DSC_0049;ID8_1_F_CMR13_DSC_0044;ID17_1_F_CMR13_DSC_0001;ID18_2_F_CMR13_DSC_0006;ID19_2_F_CMR13_DSC_0010;ID20_2_F_CMR13_DSC_0014;ID25_1_F_CMR13_DSC_0034;ID26_1_F_CMR13_DSC_0041;ID27_2_F_CMR13_DSC_0050;ID28_2_F_CMR13_DSC_0046;ID33_1_F_CMR13_DSC_0187;ID34_2_F_CMR13_DSC_0180;ID35_2_F_CMR13_DSC_0184;ID36_1_F_CMR13_DSC_0175;ID37_2_F_CMR13_DSC_0172;ID38_2_F_CMR13_DSC_0159;ID39_2_F_CMR13_DSC_0163;ID40_1_F_CMR13_DSC_0166;ID41_1_F_CMR13_DSC_0203;ID42_1_F_CMR13_DSC_0199;ID43_1_F_CMR13_DSC_0191;ID44_2_F_CMR13_DSC_0196;ID53_1_F_CMR13_DSC_0251;ID54_2_F_CMR13_DSC_0244;ID55_1_F_CMR13_DSC_0239;ID56_1_F_CMR13_DSC_0247;ID61_2_F_CMR13_DSC_0284;ID62_2_F_CMR13_DSC_0276;ID63_2_F_CMR13_DSC_0272;ID64_1_F_CMR13_DSC_0279;ID65_1_F_CMR13_DSC_0296;ID66_1_F_CMR13_DSC_0300;ID67_1_F_CMR13_DSC_0292;ID68_1_F_CMR13_DSC_0288;ID73_2_F_CMR13_DSC_DSC_0327;ID74_1_F_CMR13_DSC_DSC_0334;ID75_1_F_CMR13_DSC_DSC_0322;ID76_2_F_CMR13_DSC_DSC_0331;ID81_2_F_CMR13_DSC_0367;ID82_1_F_CMR13_DSC_0362;ID83_2_F_CMR13_DSC_0359;ID84_1_F_CMR13_DSC_0354;ID89_1_F_CMR13_DSC_0394;ID90_1_F_CMR13_DSC_0398;ID91_2_F_CMR13_DSC_0391;ID92_2_F_CMR13_DSC_0403;ID97_2_F_CMR13_DSC_0436;ID98_1_F_CMR13_DSC_0427
CMR_13_Fem62;5;4;4;6;4;3;4;6;4;5;3;5;5;4;5;5;5;6;5;4;5;4;6;4;5;4;4;5;5;5;5;5;4;4;5;5;6;5;4;5;4;5;4;5;5;5;4;6;4;6
CMR_13_Fem63;7;5;6;5;5;4;6;4;2;5;7;2;5;1;2;3;5;5;6;7;3;6;3;6;6;7;7;2;2;7;6;4;3;3;5;7;5;3;6;3;6;4;6;4;5;4;5;2;6;7
CMR_13_Fem64;6;4;7;6;3;4;3;7;4;6;1;5;6;2;3;5;3;6;6;4;5;2;3;7;5;6;4;5;4;4;7;2;4;4;7;7;6;5;4;5;4;3;5;7;6;5;4;1;6;6
CMR_13_Fem65;7;2;2;6;2;4;4;5;4;5;5;5;5;4;3;7;4;3;5;5;5;2;4;5;4;3;4;6;3;5;6;3;2;4;4;6;4;4;5;7;3;5;5;5;5;5;2;4;4;6
CMR_13_Fem66;2;3;3;3;2;3;2;3;4;3;4;2;2;3;3;3;3;2;3;2;3;3;3;3;2;3;3;4;3;3;4;3;4;3;3;2;2;2;3;3;3;3;2;2;3;4;3;3;2;2
CMR_13_Fem67;5;6;3;4;4;5;3;5;4;4;5;3;2;2;5;4;4;2;7;6;7;5;6;2;2;4;4;7;6;5;6;2;4;4;6;3;3;6;3;5;5;6;1;4;7;3;7;3;4;5
CMR_13_Fem68;2;7;1;7;2;1;1;7;3;7;7;1;2;5;2;7;3;1;1;1;2;2;3;1;2;1;1;7;6;1;2;6;1;1;1;7;7;7;4;1;7;1;1;1;3;7;5;4;7;1
CMR_13_Fem69;6;7;5;7;5;6;7;6;6;7;7;7;6;5;7;7;7;6;7;6;7;4;4;7;4;6;6;6;6;5;7;6;6;7;1;7;6;5;7;6;6;6;5;6;6;6;7;6;7;6
CMR_13_Fem70;6;6;7;7;6;5;7;6;6;5;7;7;5;6;7;6;6;7;6;7;6;6;5;7;6;6;7;7;5;5;7;5;5;6;6;7;6;6;6;7;6;6;7;7;6;6;6;6;5;6
CMR_13_Fem71;6;7;5;6;5;1;6;4;1;3;1;4;6;6;4;5;4;7;7;5;3;3;1;7;1;2;7;4;3;7;6;4;1;3;5;7;7;4;5;6;4;6;5;6;2;2;6;7;3;4
CMR_13_Fem72;6;1;2;6;4;1;1;7;1;5;1;5;4;3;5;2;2;7;5;2;4;5;6;5;2;3;3;2;1;5;3;2;3;5;5;5;5;3;1;7;3;2;5;6;4;4;3;3;3;5
CMR_13_Fem73;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
CMR_13_Fem74;6;5;6;5;5;3;4;1;3;3;2;1;5;2;5;2;4;5;2;3;4;1;5;6;3;6;5;6;3;4;5;3;3;4;5;6;6;3;3;1;3;4;2;2;4;3;6;4;4;6
CMR_13_Fem75;4;7;6;6;5;2;6;7;4;4;4;7;5;4;4;6;4;5;6;3;5;2;6;7;2;6;7;7;4;5;4;3;3;4;5;6;6;6;6;5;5;7;5;5;4;5;7;6;7;6
CMR_13_Fem76;5;2;3;7;4;2;5;5;2;5;1;7;6;3;3;6;3;2;4;3;3;2;4;5;2;4;7;4;3;4;6;3;2;3;3;6;3;6;5;4;3;3;3;5;3;2;5;6;5;5
CMR_13_Fem77;6;5;4;5;6;3;5;7;4;4;3;6;7;3;5;5;2;4;6;2;5;5;7;7;6;3;5;5;1;7;7;3;4;2;4;7;7;6;6;6;5;7;6;7;6;6;6;6;3;6
