Culture_Year;Sex;ID;L_skin;L_iris;a_iris;b_iris;L_sclera;a_sclera;b_sclera;Age;Attr;SexT;Nat;Group;LOCAL_DIST;SexTypMeas;Asym
Cameroon_2013;F;ID44_2_F_CMR13_DSC_0196.jpg (Lab):L;37,045;3,626;1,983;-0,721;38,717;6,196;9,097;20;3,117647059;5,454545455;CMR;Cameroon_2013 F;0,062993947;-0,565950526;0,067297873
Cameroon_2013;F;ID53_1_F_CMR13_DSC_0251.jpg (Lab):L;27,107;4,081;2,259;-1,406;39,569;12,352;13,808;23;3,176470588;3,974025974;CMR;Cameroon_2013 F;0,065822668;-1,285346301;0,079353419
Cameroon_2013;F;ID54_2_F_CMR13_DSC_0244.jpg (Lab):L;39,3;5,232;4,717;1,683;43,368;9,798;10,936;19;2,705882353;4,792207792;CMR;Cameroon_2013 F;0,057038844;0,836381366;0,071259249
Cameroon_2013;F;ID55_1_F_CMR13_DSC_0239.jpg (Lab):L;34,142;4,583;2,19;-1,179;39,567;9,92;14,739;25;2,852941176;4,697368421;CMR;Cameroon_2013 F;0,050888187;-0,515918341;0,066129605
Cameroon_2013;F;ID56_1_F_CMR13_DSC_0247.jpg (Lab):L;39,756;4,738;3,816;0,526;46,187;7,135;10,699;20;3,058823529;5,246753247;CMR;Cameroon_2013 F;0,061268936;-1,589921417;0,062900148
Cameroon_2013;F;ID61_2_F_CMR13_DSC_0284.jpg (Lab):L;37,558;5,48;3,451;0,19;49,112;6,716;12,6;21;2,147058824;4,454545455;CMR;Cameroon_2013 F;0,03804176;-0,278231991;0,086216417
Cameroon_2013;F;ID62_2_F_CMR13_DSC_0276.jpg (Lab):L;32,222;4,708;2,729;-0,318;42,531;9,198;13,852;23;2,852941176;4,337662338;CMR;Cameroon_2013 F;0,055926741;-0,154805106;0,07224513
Cameroon_2013;F;ID63_2_F_CMR13_DSC_0272.jpg (Lab):L;48,147;5,987;3,788;0,729;46,16;7,426;10,966;19;3,852941176;5,779220779;CMR;Cameroon_2013 F;0,054425766;-1,772922824;0,065017054
Cameroon_2013;F;ID64_1_F_CMR13_DSC_0279.jpg (Lab):L;37,97;4,308;2,065;-1,61;43,934;8,035;11,32;22;2,588235294;4,545454545;CMR;Cameroon_2013 F;0,051605587;0,08997719;0,076419914
Cameroon_2013;F;ID65_1_F_CMR13_DSC_0296.jpg (Lab):L;32,308;4,367;2,866;-0,654;40,552;8,519;12,528;22;3,235294118;4,116883117;CMR;Cameroon_2013 F;0,043446201;0,489079453;0,07583604
Cameroon_2013;F;ID66_1_F_CMR13_DSC_0300.jpg (Lab):L;32,796;2,616;1,261;-1,467;41,292;6,121;9,764;22;2,617647059;4,649350649;CMR;Cameroon_2013 F;0,058772988;-0,312983605;0,070142471
Cameroon_2013;F;ID67_1_F_CMR13_DSC_0292.jpg (Lab):L;38,604;7,205;4,994;1,709;43,609;8,322;12,61;19;3,411764706;5,473684211;CMR;Cameroon_2013 F;0,041594666;0,365415428;0,077717285
Cameroon_2013;F;ID68_1_F_CMR13_DSC_0288.jpg (Lab):L;43,783;6,462;3,245;-0,376;52,702;7,317;11,754;21;3,764705882;5,74025974;CMR;Cameroon_2013 F;0,036492967;-0,107103838;0,067159565
Cameroon_2013;F;ID73_2_F_CMR13_DSC_DSC_0327.jpg (Lab):L;34,248;3,747;1,916;-1,883;38,296;7,464;11,923;21;3,735294118;5,532467532;CMR;Cameroon_2013 F;0,059300923;1,637557864;0,072712634
Cameroon_2013;F;ID74_1_F_CMR13_DSC_DSC_0334.jpg (Lab):L;35,134;6,893;6,149;1,105;37,733;7,372;8,803;20;2,676470588;5,116883117;CMR;Cameroon_2013 F;0,049188808;1,314284021;0,073369769
Cameroon_2013;F;ID75_1_F_CMR13_DSC_DSC_0322.jpg (Lab):L;32,841;4,197;2,863;-1,731;45,603;5,761;9,68;22;2,382352941;4,61038961;CMR;Cameroon_2013 F;0,062734374;1,347256115;0,128988501
Cameroon_2013;F;ID76_2_F_CMR13_DSC_DSC_0331.jpg (Lab):L;42,491;4,3;2,296;-0,138;45,077;6,452;11,994;23;2,764705882;5,220779221;CMR;Cameroon_2013 F;0,04467674;-0,087186225;0,096615593
Cameroon_2013;F;ID81_2_F_CMR13_DSC_0367.jpg (Lab):L;45,055;5,435;3,8;-1,398;46,956;11,758;18,772;21;2,647058824;4,636363636;CMR;Cameroon_2013 F;0,048205133;-0,872053186;0,067573722
Cameroon_2013;F;ID82_1_F_CMR13_DSC_0362.jpg (Lab):L;55,496;6,121;3,748;-1,457;49,782;9,844;15,364;22;2,588235294;4,552631579;CMR;Cameroon_2013 F;0,051030115;0,730221372;0,073881444
Cameroon_2013;F;ID83_2_F_CMR13_DSC_0359.jpg (Lab):L;38,316;4,133;2,518;-0,791;39,073;8,585;14,388;22;2,235294118;5,012987013;CMR;Cameroon_2013 F;0,079236589;-0,649720677;0,064987801
Cameroon_2013;F;ID84_1_F_CMR13_DSC_0354.jpg (Lab):L;48,425;5,746;2,787;-1,121;44,88;7,33;9,745;22;3,529411765;5,311688312;CMR;Cameroon_2013 F;0,045811302;0,067425692;0,06703374
Cameroon_2013;F;ID89_1_F_CMR13_DSC_0394.jpg (Lab):L;45,103;5,343;4,718;1,484;39,929;6,407;10,589;20;3,382352941;4,87012987;CMR;Cameroon_2013 F;0,051655243;-0,146426822;0,086368664
Cameroon_2013;F;ID90_1_F_CMR13_DSC_0398.jpg (Lab):L;40,773;7,224;5,312;1,356;47,582;6,014;12,969;22;2,911764706;4,935064935;CMR;Cameroon_2013 F;0,053619523;-0,944948091;0,067589184
Cameroon_2013;F;ID91_2_F_CMR13_DSC_0391.jpg (Lab):L;46,427;8,819;5,603;-0,402;60,41;4,044;8,692;17;3,588235294;5,363636364;CMR;Cameroon_2013 F;0,038356505;0,069333134;0,069663601
Cameroon_2013;F;ID92_2_F_CMR13_DSC_0403.jpg (Lab):L;47,655;4,609;3,663;-1,211;41,289;6,691;10,628;21;3,147058824;5,077922078;CMR;Cameroon_2013 F;0,064080148;0,666631423;0,066449304
Cameroon_2013;F;ID97_2_F_CMR13_DSC_0436.jpg (Lab):L;46,433;3,611;2,427;-0,571;42,317;10,729;15,984;20;3,529411765;5,415584416;CMR;Cameroon_2013 F;0,067582241;-1,995072041;0,064525207
Cameroon_2013;F;ID98_1_F_CMR13_DSC_0427.jpg (Lab):L;46,204;5,035;2,417;-2,29;52,485;5,486;10,024;17;3,5;5,545454545;CMR;Cameroon_2013 F;0,067578994;-0,699495955;0,072908458
Cameroon_2013;M;ID1_1_M_CMR13_DSC_0023.jpg (Lab):L;59,4353;6,948;4,522;-1,805;49,332;13,6;15,682;25;3,464285714;5,545454545;CMR;Cameroon_2013 M;0,056860869;0,656974095;0,07363248
Cameroon_2013;M;ID2_2_M_CMR13_DSC_0033.jpg (Lab):L;30,004;4,36;3,471;-0,086;33,192;8,931;12,889;21;5;5,636363636;CMR;Cameroon_2013 M;0,075353979;-0,567364452;0,075872165
Cameroon_2013;M;ID3_1_M_CMR13_DSC_0025.jpg (Lab):L;40,776;7,627;5,524;-0,008;46,643;8,016;12,038;20;5,5;5,181818182;CMR;Cameroon_2013 M;0,043106115;-0,714298462;0,078939887
Cameroon_2013;M;ID4_1_M_CMR13_DSC_0028.jpg (Lab):L;28,981;6,456;2,763;-3,228;51,568;13,368;17,619;18;2,964285714;6,142857143;CMR;Cameroon_2013 M;0,052375382;1,327223655;0,072015045
Cameroon_2013;M;ID9_2_M_CMR13_DSC_0061.jpg (Lab):L;37,363;7,666;3,938;-1,793;43,887;14,403;13,541;21;4,321428571;5,987012987;CMR;Cameroon_2013 M;0,06792148;0,336448683;0,065901985
Cameroon_2013;M;ID10_2_M_CMR13_DSC_0065.jpg (Lab):L;36,21;7,09;3,67;-1,204;58,228;9,154;14,044;24;5,142857143;5,87012987;CMR;Cameroon_2013 M;0,066820542;-1,382853358;0,067180107
Cameroon_2013;M;ID11_3_M_CMR13_DSC_0082.jpg (Lab):L;37,986;10,768;6,466;2,288;50,245;9,009;12,618;23;3,785714286;5,168831169;CMR;Cameroon_2013 M;0,044171926;-1,763353211;0,080256998
Cameroon_2013;M;ID12_1_M_CMR13_DSC_0076.jpg (Lab):L;30,187;3,998;2,924;-1,169;34,347;8,561;10,134;23;3,464285714;6,376623377;CMR;Cameroon_2013 M;0,058047521;0,653138534;0,065081953
Cameroon_2013;M;ID13_1_M_CMR13_DSC_0052.jpg (Lab):L;49,084;7,723;5,514;-1,945;51,207;8,505;10,722;19;4,035714286;3,779220779;CMR;Cameroon_2013 M;0,045840434;0,293133606;0,07973626
Cameroon_2013;M;ID14_1_M_CMR13_DSC_0072.jpg (Lab):L;30,953;9,917;4,984;-0,364;48,469;12,899;17,451;30;2,857142857;6,480519481;CMR;Cameroon_2013 M;0,062676773;1,095022127;0,074753728
Cameroon_2013;M;ID15_1_M_CMR13_DSC_0056.jpg (Lab):L;28,057;4,629;2,532;-0,289;38,682;11,656;15,057;25;4,107142857;5,831168831;CMR;Cameroon_2013 M;0,051601225;1,563686777;0,073576813
Cameroon_2013;M;ID16_2_M_CMR13_DSC_0069.jpg (Lab):L;32,224;6,504;3,136;-1,051;40,851;11,502;15,256;20;3,481481481;6,337662338;CMR;Cameroon_2013 M;0,053393552;1,588517579;0,07397539
Cameroon_2013;M;ID21_2_M_CMR13_DSC_0019-2.jpg (Lab):L;26,429;3,544;2,47;-1,091;43,055;11,53;15,22;23;4,142857143;6,181818182;CMR;Cameroon_2013 M;0,034332037;0,622607757;0,082683879
Cameroon_2013;M;ID22_2_M_CMR13_DSC_0023.jpg (Lab):L;27,395;3,546;1,694;-0,29;34,687;11,008;15,172;23;4,464285714;5,805194805;CMR;Cameroon_2013 M;0,049587805;0,07730249;0,075547461
Cameroon_2013;M;ID23_1_M_CMR13_DSC_0030.jpg (Lab):L;25,519;2,905;1,957;-1,148;36,286;11,431;13,978;24;3,333333333;6,246753247;CMR;Cameroon_2013 M;0,058530863;-0,81881738;0,06993442
Cameroon_2013;M;ID24_2_M_CMR13_DSC_0027.jpg (Lab):L;25,138;3,268;2,166;-1,19;34,691;11,409;12,679;22;3,321428571;5,831168831;CMR;Cameroon_2013 M;0,049251261;-0,49261871;0,072003482
Cameroon_2013;M;ID29_1_M_CMR13_DSC_0146.jpg (Lab):L;25,535;3,985;2,05;-1,916;37,093;7,818;10,77;23;3,071428571;5,454545455;CMR;Cameroon_2013 M;0,059259974;-2,015627841;0,0747868
